Time,User,Executable,CommandLine,PID,Parent,PID,Privileges
20170721003852.512518+480,GYL-PC\GYL,C:\Program Files\Git\mingw64\bin\git.exe,"C:\Program Files\Git\mingw64\bin\git.exe" commit,1412,12012,SeChangeNotifyPrivilege|
20170721003852.728621+480,GYL-PC\GYL,C:\Program Files\Git\usr\bin\vim.exe,"C:\Program Files\Git\usr\bin\vim.exe",4248,6304,SeChangeNotifyPrivilege|
20170721003948.561310+480,None\None,None,None,13088,828,N/A
20170721003958.890375+480,GYL-PC\GYL,D:\SogouInput\8.6.0.1389\SGTool.exe,"D:\SogouInput\8.6.0.1389\SGTool.exe" -daemon,9996,8400,SeChangeNotifyPrivilege|
20170721004101.035668+480,None\None,None,None,7576,3372,N/A
Time,User,Executable,CommandLine,PID,Parent,PID,Privileges
20170721220258.146900+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe,"C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe" --type=renderer --disable-direct-write --lang=zh-CN --enable-pinch --device-scale-factor=1 --num-raster-threads=2 --content-image-texture-target=3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553 --video-image-texture-target=3553 --channel="8944.7.656796325\1965082248" --browser-delegate-path="\"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\"" /prefetch:673131151,9616,8944,
20170721220319.119965+480,None\None,None,None,9888,10144,N/A
20170721220600.896597+480,GYL-PC\GYL,C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\bdupdate.exe,"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\bdupdate.exe" -p 3 --launchagain 0,5680,6104,SeChangeNotifyPrivilege|
20170721220601.159117+480,None\None,None,None,13116,3372,N/A
20170721220640.057700+480,GYL-PC\GYL,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2017.18062.13720.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe,"C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2017.18062.13720.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe" -ServerName:App.AppXzst44mncqdg84v7sv6p7yznqwssy6f7f.mca,10888,980,SeChangeNotifyPrivilege|
20170721220640.078568+480,GYL-PC\GYL,C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8241.41275.0_x64__8wekyb3d8bbwe\HxTsr.exe,"C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8241.41275.0_x64__8wekyb3d8bbwe\HxTsr.exe" -ServerName:Hx.IPC.Server,8648,980,SeChangeNotifyPrivilege|
20170721220649.719501+480,GYL-PC\GYL,C:\Users\GYL\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe,C:\Users\GYL\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe,13300,1264,SeChangeNotifyPrivilege|
20170721220650.011334+480,None\None,None,None,9332,828,N/A
20170721220703.291072+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe,"C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe" --type=renderer --disable-direct-write --lang=zh-CN --enable-pinch --device-scale-factor=1 --num-raster-threads=2 --content-image-texture-target=3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553 --video-image-texture-target=3553 --channel="8944.8.1948605263\1966815255" --browser-delegate-path="\"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\"" /prefetch:673131151,8160,8944,
20170721220727.633544+480,None\None,None,None,768,2320,N/A
20170721220729.341482+480,None\None,None,None,6336,828,N/A
20170721220731.460507+480,GYL-PC\GYL,C:\WINDOWS\system32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0x4,2156,2836,SeChangeNotifyPrivilege|
20170721220731.545090+480,GYL-PC\GYL,C:\Program Files\Git\usr\bin\bash.exe,"C:\Program Files\Git\usr\bin\bash.exe",9416,9672,SeChangeNotifyPrivilege|
20170721220731.285043+480,GYL-PC\GYL,C:\Program Files\Git\usr\bin\mintty.exe,usr\bin\mintty.exe -o AppID=GitForWindows.Bash -o RelaunchCommand="C:\Program Files\Git\git-bash.exe" -o RelaunchDisplayName="Git Bash" -i /mingw64/share/git/git-for-windows.ico /usr/bin/bash --login -i,9928,8476,SeChangeNotifyPrivilege|
20170721220741.800706+480,GYL-PC\GYL,D:\SogouInput\8.6.0.1389\SGTool.exe,"D:\SogouInput\8.6.0.1389\SGTool.exe" -daemon,12480,9928,SeChangeNotifyPrivilege|
20170721220818.646723+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe,"C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe" --type=renderer --disable-direct-write --lang=zh-CN --enable-pinch --device-scale-factor=1 --num-raster-threads=2 --content-image-texture-target=3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553 --video-image-texture-target=3553 --channel="8944.9.567728151\997957089" --browser-delegate-path="\"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\"" /prefetch:673131151,6624,8944,
20170721220819.106975+480,None\None,None,None,13148,3372,N/A
